Employee_Number,Position,Dept,Dept_Description,Proj_Division,BU,Annual_Leave_Entitlement,Leave_Code,Leave_Type,Leave_Type_Description,From,To,Days,Total_No_of_Leave_Days,Remarks,BU_Entry_Date,Employee_Type
0038698,Project Manager,90087,Foundations Management,FDN-HF,13869,AL24,AL-MP,AL,Annual Leave,2021-10-22T00:00:00Z,2021-10-22T00:00:00Z,0.5,NULL,AM,42600,Monthly Paid
0038698,Project Manager,90087,Foundations Management,FDN-HF,13869,AL24,AL-MP,AL,Annual Leave,2021-10-23T00:00:00Z,2021-10-23T00:00:00Z,0.5,NULL,PM,42600,Monthly Paid
0038698,Project Manager,90087,Foundations Management,FDN-HF,13869,AL24,AL-MP,AL,Annual Leave,2021-12-22T00:00:00Z,2021-12-22T00:00:00Z,0.5,NULL,PM,42600,Monthly Paid
0038698,Project Manager,90087,Foundations Management,FDN-HF,13869,AL24,AL-MP,AL,Annual Leave,2021-12-24T00:00:00Z,2021-12-24T00:00:00Z,0.5,NULL,PM,42600,Monthly Paid
0038698,Project Manager,90087,Foundations Management,FDN-HF,13869,AL24,AL-MP,AL,Annual Leave,2021-12-25T00:00:00Z,2021-12-25T00:00:00Z,0.5,NULL,PM,42600,Monthly Paid
0038700,Secretary,90087,Foundations Management,FDN-HF,13850,AL12,AL-MP,AL,Annual Leave,2021-10-23T00:00:00Z,2021-10-23T00:00:00Z,0.5,NULL,PM,43083,Monthly Paid
0038700,Secretary,90087,Foundations Management,FDN-HF,13850,AL12,AL-MP,AL,Annual Leave,2021-11-28T00:00:00Z,2021-11-28T00:00:00Z,0.5,NULL,PM,43083,Monthly Paid
0038700,Secretary,90087,Foundations Management,FDN-HF,13850,AL12,AL-MP,AL,Annual Leave,2021-12-03T00:00:00Z,2021-12-03T00:00:00Z,0.5,NULL,PM,43083,Monthly Paid
0038700,Secretary,90087,Foundations Management,FDN-HF,13850,AL12,AL-MP,AL,Annual Leave,2021-12-04T00:00:00Z,2021-12-04T00:00:00Z,0.5,NULL,PM,43083,Monthly Paid
0038696,Superintendent,90087,Foundations Management,FDN-GE,13440,AL18,SL1-MP,SL,Sick Leave,2021-11-05T00:00:00Z,2021-11-05T00:00:00Z,0.5,NULL,PM,40940,Monthly Paid
0038704,Chief Surveyor,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-07-29T00:00:00Z,2021-07-29T00:00:00Z,0.5,NULL,PM,43328,Monthly Paid
0038704,Chief Surveyor,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-12-15T00:00:00Z,2021-12-15T00:00:00Z,0.5,NULL,PM,43328,Monthly Paid
